Track	Url_img	Album	Speechiness	Acousticness	Liveness	Valence	Energy	Link
BE OK	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.149	0.0305	0.0413	0.634	0.714	https://open.spotify.com/track/3TBZv1eEBGFUEzRoNRVnBh
BEHIND THE MASK	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.113	0.0689	0.195	0.346	0.813	https://open.spotify.com/track/7mBgzdwjJzfnUJtHrRXuCA
BELIEVER	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.0599	0.0294	0.663	0.483	0.84	https://open.spotify.com/track/7louodH5FUYuL3yvHQtq3O
BETTER	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.046	0.00123	0.353	0.584	0.698	https://open.spotify.com/track/1Wrn6btrungVsBjyViLnuY
BITTER SWEET	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.0869	0.21	0.116	0.684	0.761	https://open.spotify.com/track/4S8oHLnQ9xFigFCLAbplGi
BLAME IT ON ME	https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6	Ready To Be	0.0481	0.198	0.255	0.724	0.681	https://open.spotify.com/track/2hQdmjAhYEuMuqNWZCsz1J
BRAND NEW GIRL	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0696	0.016	0.145	0.75	0.965	https://open.spotify.com/track/1U3cHXWaa0FqlUWLLBL7Kz
BRAVE	https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340	Between 1&2	0.0483	0.0778	0.178	0.663	0.884	https://open.spotify.com/track/2peoFPokM6eYAIwLm9IQ8E
BREAKTHROUGH	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.11	0.0439	0.0975	0.616	0.728	https://open.spotify.com/track/4FSZ58qDnveyK6aAjFMtN2
BRING IT BACK	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.0684	0.207	0.118	0.606	0.638	https://open.spotify.com/track/2APCo1hwAaua9CslYXqALD
CACTUS	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.0307	0.122	0.154	0.223	0.615	https://open.spotify.com/track/5TYy2SgTQUv6YGWHbryUV8
CANDY	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.0363	0.212	0.0671	0.78	0.734	https://open.spotify.com/track/53Abp3QVXDA9z1VmJsOBXm
CANDY BOY	https://i.scdn.co/image/ab67616d0000b273ce17f432c79c5e45ce88688f	The Story Begins	0.0924	0.0183	0.0589	0.645	0.695	https://open.spotify.com/track/24v5kLGH1orEX6kAFgAbA3
CANDY POP	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0894	0.177	0.141	0.84	0.943	https://open.spotify.com/track/0fMOC7vdsMubv9fgFIu9Wk
CATCH A WAVE	https://i.scdn.co/image/ab67616d0000b27386220f35cd24a014c70d0e55	Hare Hare	0.0525	0.217	0.11	0.803	0.921	https://open.spotify.com/track/2MbxU95EQZbdRo0biiC6M2
CELEBRATE	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.0573	0.0628	0.0634	0.864	0.89	https://open.spotify.com/track/4Y0chGCyYIRpdUqHJjndF7
CHANGING!	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.0729	0.261	0.0932	0.81	0.904	https://open.spotify.com/track/2p1sCfVcsXbZtMx3pjklOQ
CHEER UP	https://i.scdn.co/image/ab67616d0000b2739e9e3a1adcc32090690fd0b6	Page Two	0.124	0.139	0.114	0.509	0.885	https://open.spotify.com/track/7lB4rxNVc7vm33ZSZXVRAQ
CHILLAX	https://i.scdn.co/image/ab67616d0000b27340d7efd2594a2b6bda60ea18	Summer Nights	0.0592	0.134	0.0575	0.741	0.832	https://open.spotify.com/track/4TsOQZGMRCVUhS7cNzhdVF
CONVERSATION	https://i.scdn.co/image/ab67616d0000b273feede28e85bb57807a272a2b	Taste Of Love	0.183	0.17	0.303	0.737	0.649	https://open.spotify.com/track/51m3W8o9IlVrdWDEyqSY4F
CRAZY STUPID LOVE	https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6	Ready To Be	0.0316	0.393	0.07	0.681	0.748	https://open.spotify.com/track/0jn8sYeWOdYHjdF2cBmF75
CRUEL	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.061	0.0112	0.151	0.82	0.827	https://open.spotify.com/track/139JUU8fJkQoeHl9nABk9C
DANCE THE NIGHT AWAY	https://i.scdn.co/image/ab67616d0000b27340d7efd2594a2b6bda60ea18	Summer Nights	0.0941	0.106	0.113	0.779	0.861	https://open.spotify.com/track/4DYIDSMIB5y2UmZFv9fxeX
DEJAVU	https://i.scdn.co/image/ab67616d0000b27340d7efd2594a2b6bda60ea18	Summer Nights	0.0649	0.0129	0.0895	0.509	0.793	https://open.spotify.com/track/5I7VK1Y81I4KdRCN27iGMl
DEPEND ON YOU	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.0387	0.0953	0.455	0.522	0.597	https://open.spotify.com/track/34WYAVk1WHSyMxY9tHRPyA
DING DONG	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.051	0.0525	0.224	0.801	0.881	https://open.spotify.com/track/1sRQqInj0p7N8XRdgSSNQe
DO IT AGAIN	https://i.scdn.co/image/ab67616d0000b273ce17f432c79c5e45ce88688f	The Story Begins	0.0394	0.00771	0.145	0.791	0.942	https://open.spotify.com/track/2hEoYaI7wTStkahHj5oLP9
DO WHAT WE LIKE	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.0614	0.0101	0.091	0.715	0.896	https://open.spotify.com/track/54kGRAmn3I49RPAhdWG2sp
DON'T CALL ME AGAIN	https://i.scdn.co/image/ab67616d0000b27324869424ae632466b839a8a8	More & More	0.175	0.00146	0.112	0.613	0.902	https://open.spotify.com/track/4pOPTaIor4ilgBCcOmnJRU
DON'T GIVE UP	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0477	0.0592	0.155	0.465	0.663	https://open.spotify.com/track/0iAJxqyNx7dOuCD4c52iFH
DOUGHNUT	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.0315	0.233	0.145	0.459	0.586	https://open.spotify.com/track/65rmgd5uMb4Rgqb5dSiU0p
ESPRESSO	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.215	0.065	0.141	0.752	0.851	https://open.spotify.com/track/61iEzLnJzBnMwumWtn0nFp
EYE EYE EYES	https://i.scdn.co/image/ab67616d0000b273d07e49e3e5a8e79903713354	Signal	0.133	0.0197	0.345	0.547	0.942	https://open.spotify.com/track/1f0bbQnt1jMQQXZCgSGmA8
F.I.L.A (FALL IN LOVE AGAIN)	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.0945	0.0921	0.196	0.653	0.889	https://open.spotify.com/track/4O1WbQwMV0W6Y2dUCvwoBx
FAKE & TRUE	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.0599	0.0569	0.288	0.765	0.808	https://open.spotify.com/track/2U3stMMeyotWIzAyK34uGW
FANCY	https://i.scdn.co/image/ab67616d0000b273ff7c2dfd0ed9b2cf6bf9c818	Fancy You	0.0449	0.0122	0.627	0.775	0.874	https://open.spotify.com/track/2qQpFbqqkLOGySgNK8wBXt
FANFARE	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.126	0.0302	0.0764	0.81	0.956	https://open.spotify.com/track/3uqAI1vTwmFuGbLoYSjZHz
FEEL SPECIAL	https://i.scdn.co/image/ab67616d0000b27349b81808fcdaeeb55bef59d1	Feel Special	0.0604	0.0296	0.107	0.644	0.959	https://open.spotify.com/track/3Hz3tTQwOdM6XkA0ALB2G9
FFW	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0431	0.126	0.296	0.928	0.949	https://open.spotify.com/track/54tPbA8xDgU32dESUR2bNd
FIREWORK	https://i.scdn.co/image/ab67616d0000b27324869424ae632466b839a8a8	More & More	0.0536	0.115	0.701	0.685	0.92	https://open.spotify.com/track/5NhDDt5Zy8yGOECN3PLRdE
FIRST TIME	https://i.scdn.co/image/ab67616d0000b273feede28e85bb57807a272a2b	Taste Of Love	0.218	0.0535	0.0495	0.771	0.754	https://open.spotify.com/track/3YdqewCLgGsFhruA3EhILy
FLOW LIKE WAVES	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.0772	0.303	0.0734	0.844	0.802	https://open.spotify.com/track/130QnmAd1WGYmMf9TPh8eE
FOUR-LEAF CLOVER	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.13	0.076	0.144	0.772	0.85	https://open.spotify.com/track/4kfWbVi5ND1FOUoN6LK5Es
GET LOUD	https://i.scdn.co/image/ab67616d0000b27349b81808fcdaeeb55bef59d1	Feel Special	0.0774	0.0464	0.338	0.847	0.953	https://open.spotify.com/track/6RIx1qFPIeY2PBZfAHLaLG
